"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"Tarayıcı bellek kullanımı kontrolü","2","testMemoryUsage","PayTR Performance Test Suite","2025-10-20","failed","2025-10-20","com.example.tests.PayTRPerformanceTests","Memory Usage Tests","com.example.tests.PayTRPerformanceTests","testMemoryUsage"
"Ana sayfa yükleme süresinin 3 saniyeden az olması kontrolü","8","testPageLoadTime","PayTR Performance Test Suite","2025-10-20","failed","2025-10-20","com.example.tests.PayTRPerformanceTests","Page Load Performance Tests","com.example.tests.PayTRPerformanceTests","testPageLoadTime"
"API yanıt sürelerinin 5 saniyeden az olması kontrolü","2","testAPIResponseTime","PayTR Performance Test Suite","2025-10-20","failed","2025-10-20","com.example.tests.PayTRPerformanceTests","API Performance Tests","com.example.tests.PayTRPerformanceTests","testAPIResponseTime"
"Eşzamanlı kullanıcı yükü simülasyonu","3","testConcurrentUserLoad","PayTR Performance Test Suite","2025-10-20","failed","2025-10-20","com.example.tests.PayTRPerformanceTests","Concurrent User Load Tests","com.example.tests.PayTRPerformanceTests","testConcurrentUserLoad"
"Sayfa yükleme performansı testi","6","testPageLoadPerformance","PayTR Performance Test Suite","2025-10-20","passed","2025-10-20","com.example.tests.PayTRUIElementsTest","Page Load Performance Tests","com.example.tests.PayTRUIElementsTest","testPageLoadPerformance"
"Ödeme API endpoint'inin doğru çalışması kontrolü","449","testPaymentAPIEndpoint","PayTR Performance Test Suite","2025-10-20","failed","2025-10-20","com.example.tests.PayTRAPITests","API Performance Tests","com.example.tests.PayTRAPITests","testPaymentAPIEndpoint"
"Frontend ve backend arasındaki entegrasyon kontrolü","2","testFrontendBackendIntegration","PayTR Performance Test Suite","2025-10-20","failed","2025-10-20","com.example.tests.PayTRIntegrationTests","Integration Performance Tests","com.example.tests.PayTRIntegrationTests","testFrontendBackendIntegration"
"Mobil cihazlarda responsive tasarım kontrolü","3","testMobileResponsiveness","PayTR Performance Test Suite","2025-10-20","failed","2025-10-20","com.example.tests.PayTRUsabilityTests","Mobile Performance Tests","com.example.tests.PayTRUsabilityTests","testMobileResponsiveness"
"Kimlik doğrulama API'sinin doğru çalışması kontrolü","448","testAuthenticationAPI","PayTR Performance Test Suite","2025-10-20","failed","2025-10-20","com.example.tests.PayTRAPITests","API Performance Tests","com.example.tests.PayTRAPITests","testAuthenticationAPI"
"Üçüncü parti servis entegrasyonları kontrolü","117","testThirdPartyServiceIntegration","PayTR Performance Test Suite","2025-10-20","passed","2025-10-20","com.example.tests.PayTRIntegrationTests","Integration Performance Tests","com.example.tests.PayTRIntegrationTests","testThirdPartyServiceIntegration"
"Mobil cihaz uyumluluğu testi","2","testMobileResponsiveness","PayTR Performance Test Suite","2025-10-20","passed","2025-10-20","com.example.tests.PayTRUIElementsTest","Mobile Performance Tests","com.example.tests.PayTRUIElementsTest","testMobileResponsiveness"
